 ;Area;Circ.;Feret;FeretX;FeretY;FeretAngle;MinFeret;AR;Round;Solidity
1464;6.387E-5;1.000;0.012;5.622;4.880;53.130;0.007;1.372;0.729;0.957
1465;0.001;0.768;0.052;6.986;4.875;127.405;0.030;1.831;0.546;0.898
1466;2.497E-4;0.884;0.025;1.443;4.877;163.301;0.012;1.851;0.540;0.935
1467;1.452E-4;0.821;0.020;8.783;4.884;165.964;0.011;1.970;0.508;0.806
1468;6.387E-5;1.000;0.012;2.740;4.894;53.130;0.007;1.372;0.729;0.957
1469;2.555E-4;0.747;0.026;5.639;4.887;131.186;0.018;1.498;0.668;0.786
1470;1.161E-5;1.000;0.005;3.653;4.887;116.565;0.002;2.000;0.500;1.000
1471;5.981E-4;0.555;0.046;1.130;4.896;171.027;0.019;2.554;0.392;0.814
1472;4.181E-4;0.781;0.028;1.207;4.906;160.017;0.025;1.071;0.933;0.867
1473;1.161E-4;0.599;0.022;10.446;4.896;96.340;0.007;2.676;0.374;0.889
1474;2.381E-4;0.826;0.023;8.366;4.899;108.435;0.017;1.470;0.680;0.845
1475;2.323E-5;1.000;0.007;9.439;4.899;135.000;0.005;1.000;1.000;1.000
1476;2.497E-4;0.776;0.027;4.814;4.904;164.745;0.014;2.044;0.489;0.851
1477;9.871E-5;0.985;0.013;9.537;4.901;111.801;0.012;1.044;0.957;0.850
1478;5.226E-5;1.000;0.011;6.800;4.906;153.435;0.007;1.340;0.746;0.857
1479;1.742E-5;0.809;0.008;2.807;4.908;108.435;0.002;3.000;0.333;1.000
1480;1.800E-4;0.838;0.024;1.952;4.911;143.130;0.012;2.282;0.438;0.849
1481;2.323E-5;0.698;0.010;2.092;4.913;135.000;0.005;2.654;0.377;0.667
1482;6.852E-4;0.286;0.070;5.451;4.913;130.815;0.026;4.271;0.234;0.526
1483;3.716E-4;0.885;0.027;6.186;4.916;105.255;0.017;1.517;0.659;0.928
1484;0.001;0.527;0.071;6.894;4.916;118.301;0.030;2.763;0.362;0.803
1485;1.452E-4;0.981;0.017;8.157;4.918;146.310;0.012;1.348;0.742;0.909
1486;0.002;0.559;0.072;2.706;4.923;129.560;0.036;2.339;0.428;0.755
1487;5.226E-5;1.000;0.010;4.834;4.920;135.000;0.007;1.000;1.000;1.000
1488;3.019E-4;0.811;0.029;7.014;4.920;124.992;0.016;1.985;0.504;0.874
1489;1.161E-5;1.000;0.005;4.480;4.923;116.565;0.002;2.000;0.500;1.000
1490;4.645E-5;0.914;0.010;0.766;4.925;104.036;0.007;1.195;0.837;0.800
1491;5.806E-6;1.000;0.003;8.383;4.925;135.000;0.002;1.000;1.000;1.000
1492;2.787E-4;1.000;0.022;4.704;4.930;116.565;0.017;1.122;0.891;0.941
1493;6.387E-5;1.000;0.012;6.140;4.947;36.870;0.007;1.372;0.729;0.957
1494;8.651E-4;0.815;0.040;7.631;4.981;72.646;0.033;1.011;0.989;0.876
1495;3.077E-4;0.604;0.032;2.694;4.969;26.565;0.017;2.408;0.415;0.768
1496;2.903E-5;1.000;0.009;6.410;4.952;146.310;0.005;1.553;0.644;0.909
1497;2.090E-4;0.876;0.024;6.800;4.966;36.870;0.014;1.854;0.539;0.900
1498;1.103E-4;0.853;0.017;7.499;4.971;33.690;0.011;1.764;0.567;0.826
1499;1.800E-4;0.984;0.019;7.858;4.966;150.255;0.012;1.443;0.693;0.939
1500;9.290E-5;1.000;0.013;9.058;4.969;158.199;0.012;1.076;0.929;0.821
1501;5.981E-4;0.390;0.055;1.422;4.969;124.380;0.024;3.171;0.315;0.617
1502;1.219E-4;1.000;0.015;4.414;4.983;38.660;0.012;1.193;0.839;0.840
1503;0.001;0.267;0.052;4.624;4.990;169.216;0.040;1.368;0.731;0.659
1504;1.335E-4;1.000;0.016;4.769;4.988;63.435;0.012;1.314;0.761;0.885
1505;2.323E-5;1.000;0.007;5.024;4.983;135.000;0.005;1.000;1.000;1.000
1506;8.129E-5;1.000;0.014;8.323;4.988;120.964;0.007;1.662;0.602;0.966
1507;5.574E-4;0.646;0.042;8.458;4.988;100.008;0.022;2.055;0.487;0.838
1508;8.710E-5;0.976;0.015;6.299;5.000;38.660;0.010;1.759;0.569;0.882
1509;1.626E-4;1.000;0.016;9.636;4.990;116.565;0.014;1.018;0.982;0.903
1510;3.484E-5;1.000;0.009;7.373;4.993;123.690;0.005;1.500;0.667;1.000
1511;1.742E-5;0.967;0.008;3.470;4.995;161.565;0.002;3.000;0.333;1.000
1512;3.310E-4;0.820;0.028;3.569;5.019;59.036;0.017;1.743;0.574;0.877
1513;2.729E-4;0.650;0.029;6.427;4.995;114.444;0.017;1.922;0.520;0.825
1514;0.002;0.329;0.067;5.214;5.017;165.466;0.048;1.545;0.647;0.691
1515;1.161E-5;1.000;0.005;8.217;4.998;116.565;0.002;2.000;0.500;1.000
1516;1.219E-4;0.971;0.017;2.508;5.012;45.000;0.012;1.300;0.769;0.933
1517;2.729E-4;0.812;0.024;7.229;5.022;36.870;0.018;1.279;0.782;0.839
1518;6.968E-5;0.419;0.022;3.337;5.024;49.399;0.007;4.690;0.213;0.571
1519;2.903E-5;1.000;0.009;9.614;5.014;56.310;0.005;1.553;0.644;0.909
1520;4.645E-5;1.000;0.010;8.390;5.029;45.000;0.007;1.229;0.814;0.941
1521;7.548E-5;1.000;0.014;7.036;5.024;135.000;0.010;1.450;0.690;0.897
1522;1.742E-4;0.793;0.024;8.330;5.024;143.130;0.012;2.467;0.405;0.822
1523;1.568E-4;0.967;0.018;5.863;5.043;66.801;0.012;1.539;0.650;0.885
1524;6.445E-4;0.499;0.055;4.867;5.031;105.255;0.021;3.072;0.326;0.763
1525;1.161E-5;1.000;0.005;5.723;5.031;116.565;0.002;2.000;0.500;1.000
1526;1.626E-4;0.356;0.034;8.130;5.055;39.289;0.010;4.451;0.225;0.583
1527;1.510E-4;0.932;0.017;5.000;5.051;33.690;0.014;1.321;0.757;0.852
1528;2.323E-5;1.000;0.007;6.940;5.039;135.000;0.005;1.000;1.000;1.000
1529;1.277E-4;1.000;0.015;1.448;5.041;108.435;0.012;1.176;0.850;0.880
1530;2.032E-4;0.644;0.026;2.142;5.041;111.801;0.012;2.557;0.391;0.805
1531;6.387E-5;0.976;0.011;5.096;5.043;116.565;0.010;1.035;0.966;0.846
1532;2.323E-5;1.000;0.007;5.516;5.043;135.000;0.005;1.000;1.000;1.000
1533;2.323E-5;0.393;0.014;4.335;5.055;45.000;0.003;5.568;0.180;0.571
1534;1.394E-4;0.602;0.025;5.720;5.048;150.945;0.011;2.870;0.348;0.727
1535;5.806E-6;1.000;0.003;5.872;5.048;135.000;0.002;1.000;1.000;1.000
1536;2.206E-4;1.000;0.019;6.906;5.067;60.255;0.017;1.078;0.927;0.905
1537;1.045E-4;1.000;0.014;5.602;5.053;120.964;0.012;1.257;0.795;0.857
1538;1.684E-4;0.953;0.019;8.154;5.055;119.745;0.014;1.564;0.640;0.866
1539;3.193E-4;0.950;0.024;3.248;5.080;66.038;0.019;1.225;0.816;0.894
1540;1.161E-4;0.898;0.017;8.345;5.072;56.310;0.011;1.792;0.558;0.833
1541;1.161E-4;0.994;0.015;8.480;5.058;128.660;0.012;1.072;0.933;0.909
1542;1.684E-4;0.569;0.028;4.323;5.087;70.017;0.009;3.722;0.269;0.841
1543;0.001;0.527;0.053;9.465;5.072;5.194;0.032;1.666;0.600;0.804
1544;4.297E-4;0.643;0.031;10.340;5.092;51.340;0.024;1.298;0.770;0.851
1545;3.019E-4;0.572;0.035;2.480;5.087;15.945;0.016;2.664;0.375;0.806
1546;4.645E-4;0.911;0.028;3.000;5.077;149.036;0.024;1.078;0.928;0.894
1547;2.845E-4;0.693;0.031;4.359;5.072;122.471;0.015;2.233;0.448;0.838
1548;2.206E-4;0.819;0.024;1.453;5.089;36.870;0.014;1.705;0.586;0.884
1549;2.323E-5;1.000;0.007;8.564;5.080;135.000;0.005;1.000;1.000;1.000
